Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Allergy, continuous_sneezing, chills, watering_from_eyes,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null
Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null,null
Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null,null
Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null,null
Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null,null
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness,null,null,null,null,null,null,null,null,null,null,null,null,null
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,null,null,null,null,null,null,null,null,null,null,null
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,null,null,null,null,null,null,null,null,null,null,null,null
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,null,null,null,null,null,null,null,null,null,null,null,null
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,null,null,null,null,null,null,null,null,null,null,null,null
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,null,null,null,null,null,null,null,null,null,null,null,null
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,null,null,null,null,null,null,null,null,null,null,null,null
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,null,null,null,null,null,null,null,null,null,null,null,null
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,null,null,null,null,null,null,null,null,null,null,null,null
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,null,null,null,null,null,null,null,null,null,null,null,null,null
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,null,null,null,null,null,null,null,null,null,null,null,null,null
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,null,null,null,null,null,null,null,null,null,null,null,null,null
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,null,null,null,null,null,null,null,null,null,null,null,null,null
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,null,null,null,null,null,null,null,null,null,null,null,null,null
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null
Chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,null,null,null,null,null,null,null
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null,null
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null,null
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null,null
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null,null
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,null,null,null,null,null,null,null,null,null,null,null
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null,null
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null,null
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Common Cold, continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain
Common Cold, continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Common Cold, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Common Cold, continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Common Cold, continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,null
Covid,tiredness, high_fever, loss_of_taste,cough,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid, high_fever, loss_of_taste, cough, tiredness,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid,cough, high_fever, tiredness, loss_of_taste,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid,loss_of_taste, tiredness, high_fever, cough,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid, high_fever, cough, tiredness, loss_of_taste,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid,tiredness, loss_of_smell, high_fever,cough,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid,loss_of_smell, tiredness, high_fever,cough,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid,loss_of_taste, cough, tiredness,high_fever,null,null,null,null,null,null,null,null,null,null,null,null,null
Covid, high_fever, tiredness, cough, loss_of_taste,null,null,null,null,null,null,null,null,null,null,null,null,null
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,null,null,null,null
Dengue, skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,null,null,null,null
Dengue, skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,null,null,null,null
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body,null,null,null,null
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,null,null,null,null
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,null,null,null
Dengue, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,null,null,null,null
Dengue, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,null,null,null,null
Dengue, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,null,null,null,null
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain,null,null,null,null
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,null,null,null,null,null,null,null,null
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus,null,null,null,null,null,null,null,null,null,null,null,null,null
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,null,null,null,null,null,null,null,null,null,null,null,null
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus,null,null,null,null,null,null,null,null,null,null,null,null,null
Dimorphic hemorrhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,null,null,null,null,null,null,null,null,null,null,null,null,null
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool,null,null,null,null,null,null,null,null,null,null,null,null,null
Dimorphic hemorrhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus,null,null,null,null,null,null,null,null,null,null,null,null,null
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_urination,null,null,null,null,null,null,null,null,null,null,null,null,null
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,null,null,null,null,null,null,null,null,null,null,null,null,null
Drug Reaction,itching, skin_rash, stomach_pain, spotting_urination,null,null,null,null,null,null,null,null,null,null,null,null,null
Drug Reaction,itching, skin_rash, burning_micturition, spotting_urination,null,null,null,null,null,null,null,null,null,null,null,null,null
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_urination,null,null,null,null,null,null,null,null,null,null,null,null,null
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_urination,null,null,null,null,null,null,null,null,null,null,null,null
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dyschromic_patches,null,null,null,null,null,null,null,null,null,null,null,null,null
Fungal infection,itching, skin_rash, dyschromic_patches,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fungal infection, skin_rash, nodal_skin_eruptions, dyschromic_patches,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fungal infection,itching, nodal_skin_eruptions, dyschromic_patches,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fungal infection,itching, skin_rash, nodal_skin_eruptions,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,null,null,null,null,null,null,null,null,null,null,null,null
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,null,null,null,null,null,null,null,null,null,null,null
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null
Gastroenteritis, vomiting, dehydration, diarrhoea,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Gastroenteritis, vomiting, sunken_eyes, dehydration,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,null,null,null,null,null,null,null,null,null,null,null,null,null
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Heart attack, vomiting, breathlessness, sweating, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null,null
Heart attack, breathlessness, sweating, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Heart attack, vomiting, breathlessness, sweating,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Heart attack, vomiting, breathlessness, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Heart attack, vomiting, sweating, chest_pain,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis A, joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis A, joint_pain, vomiting, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis A, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,null,null,null,null,null,null,null
Hepatitis B,itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis B,itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null
Hepatitis B,itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,null,null,null,null,null,null
Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history,null,null,null,null,null,null,null,null,null,null,null,null
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history,null,null,null,null,null,null,null,null,null,null,null,null
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,null,null,null,null,null,null,null,null,null,null,null
Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,null,null,null,null,null,null,null,null,null,null,null,null
Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes, family_history,null,null,null,null,null,null,null,null,null,null,null,null
Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes, family_history,null,null,null,null,null,null,null,null,null,null,null,null
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,null,null,null,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,null,null,null,null,null,null,null,null,null
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, yellowing_of_eyes,null,null,null,null,null,null,null,null,null
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding,null,null,null,null,null
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null
Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null,null
Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null,null
Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null,null
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null,null
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null,null
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null,null
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,null,null,null,null,null
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,null,null,null,null,null,null,null,null,null,null,null,null,null
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,null,null,null,null,null,null,null,null,null,null,null,null
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,null,null,null,null,null,null,null,null,null,null,null,null,null
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,null,null,null,null,null,null,null,null,null,null,null,null,null
Hypertension , headache, chest_pain, dizziness, loss_of_balance,null,null,null,null,null,null,null,null,null,null,null,null,null
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,null,null,null,null,null,null,null,null,null,null,null,null,null
Hyperthyroidism, fatigue, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
Hyperthyroidism, fatigue, mood_swings, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
